1;Widoyoko;1 Unit Komputer;2020-03-19;5000000
2;Agus;Printer Cannon iP2770;2020-03-19;1200000
3;Arlette G. Nathan;TaoTronics Bluetooth in-Ear Headphones;2020-03-18;50000
4;Helena J. Quillen;TaoTronics Dimmable Outdoor String Lights;2020-03-18;160000
5;Diane J. Thomas;SanDisk Ultra 32GB microSDHC;2020-03-17;120000
6;Sarah D. Hunter;Westinghouse Select Kitchen Appliances;2020-03-17;350000
7;Gary M. Porter;ROBO 3D R1 Plus 3D Printer;2020-03-06;600000
8;Kristine B. McGraw;"""Tristar 10"""" Round Copper Chef Pan with Glass Lid...";2020-03-08;20000
9;Karen A. McGee;Over-the-Ear Stereo Headphones;2020-03-11;25000
10;Shawn S. Derosa;Sony HTXT1 2.1-Channel TV;2020-03-11;180000
11;Lori C. Skinner;Glass PVC Rubber;2020-03-13;1800000
12;David C. Jury;Casing Pipes;2020-03-14;500000
13;Susan C. Richardson;Glass Block;2020-03-09;200000
14;Roger R. White;Truck Tires;2020-03-10;2000000
15;Jessica G. Fischer;CCTV Camera;2020-03-01;800000
16;Christopher M. Victory;Shopping Trolley;2020-03-03;100000
17;Clara C. Kulik;Spin Driller Machine;2020-03-03;350000
18;Oscar D. Scoggins;Plaster Of Paris;2020-03-04;150000
19;Eddie M. Douglas;Aluminium Heavy Windows;2020-03-05;2000
20;David E. Gary;Shuttering Plywood;2020-03-06;1500
